keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,occurrences,formal_branches,formal_scopes,fields,source_tags,source_codes,source_titles
Asymptotic results on arithmetic functions,Asymptotic results on arithmetic functions,https://scholar.google.com/scholar?q=Asymptotic%20results%20on%20arithmetic%20functions,1,Mathematics,core,Number theory,MSC2020:11N37,11N37,Asymptotic results on arithmetic functions
Asymptotic results on counting functions for algebraic and topological structures,Asymptotic results on counting functions for algebraic and topological structures,https://scholar.google.com/scholar?q=Asymptotic%20results%20on%20counting%20functions%20for%20algebraic%20and%20topological%20structures,1,Mathematics,core,Number theory,MSC2020:11N45,11N45,Asymptotic results on counting functions for algebraic and topological structures
Asymptotic stability in control theory,Asymptotic stability in control theory,https://scholar.google.com/scholar?q=Asymptotic%20stability%20in%20control%20theory,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93D20,93D20,Asymptotic stability in control theory
Asymptotic theory for ordinary differential equations,Asymptotic theory for ordinary differential equations,https://scholar.google.com/scholar?q=Asymptotic%20theory%20for%20ordinary%20differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34Exx,34Exx,Asymptotic theory for ordinary differential equations
Asymptotic theory of Banach spaces,Asymptotic theory of Banach spaces,https://scholar.google.com/scholar?q=Asymptotic%20theory%20of%20Banach%20spaces,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46B06,46B06,Asymptotic theory of Banach spaces [See also 52A23]
Asymptotic theory of convex bodies,Asymptotic theory of convex bodies,https://scholar.google.com/scholar?q=Asymptotic%20theory%20of%20convex%20bodies,1,Mathematics,core,Convex and discrete geometry,MSC2020:52A23,52A23,Asymptotic theory of convex bodies [See also 46B06]
Asymptotic theory of functional-differential equations,Asymptotic theory of functional-differential equations,https://scholar.google.com/scholar?q=Asymptotic%20theory%20of%20functional-differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34K25,34K25,Asymptotic theory of functional-differential equations
Asymptotics and summation methods for ordinary differential equations in the complex domain,Asymptotics and summation methods for ordinary differential equations in the complex domain,https://scholar.google.com/scholar?q=Asymptotics%20and%20summation%20methods%20for%20ordinary%20differential%20equations%20in%20the%20complex%20domain,1,Mathematics,core,Ordinary differential equations,MSC2020:34M30,34M30,Asymptotics and summation methods for ordinary differential equations in the complex domain
Asymptotics of solutions to integral equations,Asymptotics of solutions to integral equations,https://scholar.google.com/scholar?q=Asymptotics%20of%20solutions%20to%20integral%20equations,1,Mathematics,core,Integral equations,MSC2020:45M05,45M05,Asymptotics of solutions to integral equations
"Attainable sets, reachability","Attainable sets, reachability",https://scholar.google.com/scholar?q=Attainable%20sets%2C%20reachability,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93B03,93B03,"Attainable sets, reachability"
Attractors,Attractors,https://scholar.google.com/scholar?q=Attractors,1,Mathematics,core,Partial differential equations,MSC2020:35B41,35B41,"Attractors [See also 34D45, 37B35, 37C70, 37D45, 37G35, 37L30, 37M22]"
Attractors and repellers of smooth dynamical systems and their topological structure,Attractors and repellers of smooth dynamical systems and their topological structure,https://scholar.google.com/scholar?q=Attractors%20and%20repellers%20of%20smooth%20dynamical%20systems%20and%20their%20topological%20structure,1,Mathematics,core,"Dynamical systems and ergodic theory [See also 26A18, 28Dxx, 34Cxx, 34Dxx, 35Bxx, 46Lxx, 58Jxx, 70-XX]",MSC2020:37C70,37C70,Attractors and repellers of smooth dynamical systems and their topological structure
"Attractors and their dimensions, Lyapunov exponents for infinite-dimensional dissipative dynamical systems","Attractors and their dimensions, Lyapunov exponents for infinite-dimensional dissipative dynamical systems",https://scholar.google.com/scholar?q=Attractors%20and%20their%20dimensions%2C%20Lyapunov%20exponents%20for%20infinite-dimensional%20dissipative%20dynamical%20systems,1,Mathematics,core,"Dynamical systems and ergodic theory [See also 26A18, 28Dxx, 34Cxx, 34Dxx, 35Bxx, 46Lxx, 58Jxx, 70-XX]",MSC2020:37L30,37L30,"Attractors and their dimensions, Lyapunov exponents for infinite-dimensional dissipative dynamical systems"
Attractors of solutions to ordinary differential equations,Attractors of solutions to ordinary differential equations,https://scholar.google.com/scholar?q=Attractors%20of%20solutions%20to%20ordinary%20differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34D45,34D45,"Attractors of solutions to ordinary differential equations [See also 37C70, 37D45]"
"Auctions, bargaining, bidding and selling, and other market models","Auctions, bargaining, bidding and selling, and other market models",https://scholar.google.com/scholar?q=Auctions%2C%20bargaining%2C%20bidding%20and%20selling%2C%20and%20other%20market%20models,1,Game theory and formal social science,adjacent,"Game theory, economics, finance, and other social and behavioral sciences",MSC2020:91B26,91B26,"Auctions, bargaining, bidding and selling, and other market models"
Auslander-Reiten sequences (almost split sequences) and Auslander-Reiten quivers,Auslander-Reiten sequences (almost split sequences) and Auslander-Reiten quivers,https://scholar.google.com/scholar?q=Auslander-Reiten%20sequences%20(almost%20split%20sequences)%20and%20Auslander-Reiten%20quivers,1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16G70,16G70,Auslander-Reiten sequences (almost split sequences) and Auslander-Reiten quivers
"Authentication, digital signatures and secret sharing","Authentication, digital signatures and secret sharing",https://scholar.google.com/scholar?q=Authentication%2C%20digital%20signatures%20and%20secret%20sharing,1,Information and communication theory,adjacent,"Information and communication theory, circuits",MSC2020:94A62,94A62,"Authentication, digital signatures and secret sharing"
Automata and formal grammars in connection with logical questions,Automata and formal grammars in connection with logical questions,https://scholar.google.com/scholar?q=Automata%20and%20formal%20grammars%20in%20connection%20with%20logical%20questions,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03D05,03D05,"Automata and formal grammars in connection with logical questions [See also 68Q45, 68Q70, 68R15]"
Automata sequences,Automata sequences,https://scholar.google.com/scholar?q=Automata%20sequences,1,Mathematics,core,Number theory,MSC2020:11B85,11B85,Automata sequences
"Automated systems (robots, etc.) in control theory","Automated systems (robots, etc.) in control theory",https://scholar.google.com/scholar?q=Automated%20systems%20(robots%2C%20etc.)%20in%20control%20theory,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93C85,93C85,"Automated systems (robots, etc.) in control theory [See also 68T40, 70B15, 70Q05]"
Automatic continuity,Automatic continuity,https://scholar.google.com/scholar?q=Automatic%20continuity,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46H40,46H40,Automatic continuity
Automorphic forms and their relations with perfectoid spaces,Automorphic forms and their relations with perfectoid spaces,https://scholar.google.com/scholar?q=Automorphic%20forms%20and%20their%20relations%20with%20perfectoid%20spaces,1,Mathematics,core,Number theory,MSC2020:11F77,11F77,Automorphic forms and their relations with perfectoid spaces [See also 14G45]
Automorphic forms in several complex variables,Automorphic forms in several complex variables,https://scholar.google.com/scholar?q=Automorphic%20forms%20in%20several%20complex%20variables,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32N10,32N10,Automorphic forms in several complex variables
Automorphic forms on GL(2); Hilbert and Hilbert-Siegel modular groups and their modular and automorphic forms; Hilbert modular surfaces,Automorphic forms on GL(2); Hilbert and Hilbert-Siegel modular groups and their modular and automorphic forms; Hilbert modular surfaces,https://scholar.google.com/scholar?q=Automorphic%20forms%20on%20GL(2)%3B%20Hilbert%20and%20Hilbert-Siegel%20modular%20groups%20and%20their%20modular%20and%20automorphic%20forms%3B%20Hilbert%20modular%20surfaces,1,Mathematics,core,Number theory,MSC2020:11F41,11F41,Automorphic forms on GL(2); Hilbert and Hilbert-Siegel modular groups and their modular and automorphic forms; Hilbert modular surfaces [See also 14G35]
"Automorphic forms, one variable","Automorphic forms, one variable",https://scholar.google.com/scholar?q=Automorphic%20forms%2C%20one%20variable,1,Mathematics,core,Number theory,MSC2020:11F12,11F12,"Automorphic forms, one variable"
Automorphic functions,Automorphic functions,https://scholar.google.com/scholar?q=Automorphic%20functions,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32Nxx,32Nxx,"Automorphic functions [See also 11Fxx, 20H10, 22E40, 30F35]"
Automorphic functions in symmetric domains,Automorphic functions in symmetric domains,https://scholar.google.com/scholar?q=Automorphic%20functions%20in%20symmetric%20domains,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32N15,32N15,Automorphic functions in symmetric domains
Automorphism groups of Cn and affine manifolds,Automorphism groups of Cn and affine manifolds,https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20Cn%20and%20affine%20manifolds,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32M17,32M17,Automorphism groups of Cn and affine manifolds
Automorphism groups of groups,Automorphism groups of groups,https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20F28,20F28,Automorphism groups of groups [See also 20E36]
Automorphism groups of lattices,Automorphism groups of lattices,https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20lattices,1,Mathematics,core,Number theory,MSC2020:11H56,11H56,Automorphism groups of lattices
Automorphism groups of locally compact groups,Automorphism groups of locally compact groups,https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20locally%20compact%20groups,1,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",MSC2020:22D45,22D45,Automorphism groups of locally compact groups
Automorphism groups of other complex spaces,Automorphism groups of other complex spaces,https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20other%20complex%20spaces,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32M18,32M18,Automorphism groups of other complex spaces
Automorphisms and endomorphisms,Automorphisms and endomorphisms,https://scholar.google.com/scholar?q=Automorphisms%20and%20endomorphisms,1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16W20,16W20,Automorphisms and endomorphisms
Automorphisms and endomorphisms of algebraic structures,Automorphisms and endomorphisms of algebraic structures,https://scholar.google.com/scholar?q=Automorphisms%20and%20endomorphisms%20of%20algebraic%20structures,1,Mathematics,core,General algebraic systems,MSC2020:08A35,08A35,Automorphisms and endomorphisms of algebraic structures
Automorphisms of abstract finite groups,Automorphisms of abstract finite groups,https://scholar.google.com/scholar?q=Automorphisms%20of%20abstract%20finite%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20D45,20D45,Automorphisms of abstract finite groups
Automorphisms of curves,Automorphisms of curves,https://scholar.google.com/scholar?q=Automorphisms%20of%20curves,1,Mathematics,core,Algebraic geometry,MSC2020:14H37,14H37,Automorphisms of curves
Automorphisms of infinite groups,Automorphisms of infinite groups,https://scholar.google.com/scholar?q=Automorphisms%20of%20infinite%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20E36,20E36,"Automorphisms of infinite groups {For automorphisms of finite groups, see 20D45}"
Automorphisms of selfadjoint operator algebras,Automorphisms of selfadjoint operator algebras,https://scholar.google.com/scholar?q=Automorphisms%20of%20selfadjoint%20operator%20algebras,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46L40,46L40,Automorphisms of selfadjoint operator algebras
Automorphisms of surfaces and higher-dimensional varieties,Automorphisms of surfaces and higher-dimensional varieties,https://scholar.google.com/scholar?q=Automorphisms%20of%20surfaces%20and%20higher-dimensional%20varieties,1,Mathematics,core,Algebraic geometry,MSC2020:14J50,14J50,Automorphisms of surfaces and higher-dimensional varieties
"Automorphisms, derivations, other operators (nonassociative rings and algebras)","Automorphisms, derivations, other operators (nonassociative rings and algebras)",https://scholar.google.com/scholar?q=Automorphisms%2C%20derivations%2C%20other%20operators%20(nonassociative%20rings%20and%20algebras),1,Mathematics,core,Nonassociative rings and algebras,MSC2020:17A36,17A36,"Automorphisms, derivations, other operators (nonassociative rings and algebras)"
"Automorphisms, derivations, other operators for Lie algebras and super algebras","Automorphisms, derivations, other operators for Lie algebras and super algebras",https://scholar.google.com/scholar?q=Automorphisms%2C%20derivations%2C%20other%20operators%20for%20Lie%20algebras%20and%20super%20algebras,1,Mathematics,core,Nonassociative rings and algebras,MSC2020:17B40,17B40,"Automorphisms, derivations, other operators for Lie algebras and super algebras"
"Automorphisms, homomorphisms, endomorphisms, etc. for abelian groups","Automorphisms, homomorphisms, endomorphisms, etc. for abelian groups",https://scholar.google.com/scholar?q=Automorphisms%2C%20homomorphisms%2C%20endomorphisms%2C%20etc.%20for%20abelian%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20K30,20K30,"Automorphisms, homomorphisms, endomorphisms, etc. for abelian groups"
Averaging for functional-differential equations,Averaging for functional-differential equations,https://scholar.google.com/scholar?q=Averaging%20for%20functional-differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34K33,34K33,Averaging for functional-differential equations
Averaging method for ordinary differential equations,Averaging method for ordinary differential equations,https://scholar.google.com/scholar?q=Averaging%20method%20for%20ordinary%20differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34C29,34C29,Averaging method for ordinary differential equations
Axially symmetric solutions to PDEs,Axially symmetric solutions to PDEs,https://scholar.google.com/scholar?q=Axially%20symmetric%20solutions%20to%20PDEs,1,Mathematics,core,Partial differential equations,MSC2020:35B07,35B07,Axially symmetric solutions to PDEs
Axiom of choice and related propositions,Axiom of choice and related propositions,https://scholar.google.com/scholar?q=Axiom%20of%20choice%20and%20related%20propositions,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03E25,03E25,Axiom of choice and related propositions
Axiomatic and generalized convexity,Axiomatic and generalized convexity,https://scholar.google.com/scholar?q=Axiomatic%20and%20generalized%20convexity,1,Mathematics,core,Convex and discrete geometry,MSC2020:52A01,52A01,Axiomatic and generalized convexity
Axiomatic model classes,Axiomatic model classes,https://scholar.google.com/scholar?q=Axiomatic%20model%20classes,1,Mathematics,core,General algebraic systems,MSC2020:08C10,08C10,"Axiomatic model classes [See also 03Cxx, in particular 03C60]"
Axiomatic potential theory,Axiomatic potential theory,https://scholar.google.com/scholar?q=Axiomatic%20potential%20theory,2,Mathematics,core,"Potential theory {For probabilistic potential theory, see 60J45}",MSC2020:31D05; MSC2020:31Dxx,31D05; 31Dxx,Axiomatic potential theory
Axiomatic systems theory,Axiomatic systems theory,https://scholar.google.com/scholar?q=Axiomatic%20systems%20theory,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93A05,93A05,Axiomatic systems theory
Axiomatics and elementary properties of groups,Axiomatics and elementary properties of groups,https://scholar.google.com/scholar?q=Axiomatics%20and%20elementary%20properties%20of%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20A05,20A05,Axiomatics and elementary properties of groups
Axiomatics of classical set theory and its fragments,Axiomatics of classical set theory and its fragments,https://scholar.google.com/scholar?q=Axiomatics%20of%20classical%20set%20theory%20and%20its%20fragments,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03E30,03E30,Axiomatics of classical set theory and its fragments
Axioms for homology theory and uniqueness theorems in algebraic topology,Axioms for homology theory and uniqueness theorems in algebraic topology,https://scholar.google.com/scholar?q=Axioms%20for%20homology%20theory%20and%20uniqueness%20theorems%20in%20algebraic%20topology,1,Mathematics,core,Algebraic topology,MSC2020:55N40,55N40,Axioms for homology theory and uniqueness theorems in algebraic topology
Axioms; other general questions in probability,Axioms; other general questions in probability,https://scholar.google.com/scholar?q=Axioms%3B%20other%20general%20questions%20in%20probability,1,Probability,core,"Probability theory and stochastic processes {For additional applications, see 05Cxx, 11Kxx, 34-XX, 35-XX, 62-XX, 76-XX, 81-XX, 82-XX, 90-XX, 91-XX, 92-XX, 93-XX, 94-XX}",MSC2020:60A05,60A05,Axioms; other general questions in probability
"Baire category, Baire spaces","Baire category, Baire spaces",https://scholar.google.com/scholar?q=Baire%20category%2C%20Baire%20spaces,1,Mathematics,core,"General topology {For the topology of manifolds of all dimensions, see 57Nxx}",MSC2020:54E52,54E52,"Baire category, Baire spaces"
Banach algebra techniques applied to functions of several complex variables,Banach algebra techniques applied to functions of several complex variables,https://scholar.google.com/scholar?q=Banach%20algebra%20techniques%20applied%20to%20functions%20of%20several%20complex%20variables,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32A65,32A65,Banach algebra techniques applied to functions of several complex variables [See also 46Jxx]
"Banach algebras of continuous functions, function algebras","Banach algebras of continuous functions, function algebras",https://scholar.google.com/scholar?q=Banach%20algebras%20of%20continuous%20functions%2C%20function%20algebras,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46J10,46J10,"Banach algebras of continuous functions, function algebras [See also 46E25]"
"Banach algebras of differentiable or analytic functions, Hp-spaces","Banach algebras of differentiable or analytic functions, Hp-spaces",https://scholar.google.com/scholar?q=Banach%20algebras%20of%20differentiable%20or%20analytic%20functions%2C%20Hp-spaces,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46J15,46J15,"Banach algebras of differentiable or analytic functions, Hp-spaces [See also 30H10, 32A35, 32A37, 32A38, 42B30]"
Banach analytic manifolds and spaces,Banach analytic manifolds and spaces,https://scholar.google.com/scholar?q=Banach%20analytic%20manifolds%20and%20spaces,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32K05,32K05,"Banach analytic manifolds and spaces [See also 46G20, 58Bxx]"
Banach lattices,Banach lattices,https://scholar.google.com/scholar?q=Banach%20lattices,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46B42,46B42,"Banach lattices [See also 46A40, 46B40]"
Banach sequence spaces,Banach sequence spaces,https://scholar.google.com/scholar?q=Banach%20sequence%20spaces,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46B45,46B45,Banach sequence spaces [See also 46A45]
"Banach spaces of continuous, differentiable or analytic functions","Banach spaces of continuous, differentiable or analytic functions",https://scholar.google.com/scholar?q=Banach%20spaces%20of%20continuous%2C%20differentiable%20or%20analytic%20functions,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46E15,46E15,"Banach spaces of continuous, differentiable or analytic functions"
Bar and cobar constructions,Bar and cobar constructions,https://scholar.google.com/scholar?q=Bar%20and%20cobar%20constructions,1,Mathematics,core,"Manifolds and cell complexes {For complex manifolds, see 32Qxx}",MSC2020:57T30,57T30,"Bar and cobar constructions [See also 18N40, 55Uxx]"
"Barrelled spaces, bornological spaces","Barrelled spaces, bornological spaces",https://scholar.google.com/scholar?q=Barrelled%20spaces%2C%20bornological%20spaces,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46A08,46A08,"Barrelled spaces, bornological spaces"
Base properties of topological spaces,Base properties of topological spaces,https://scholar.google.com/scholar?q=Base%20properties%20of%20topological%20spaces,1,Mathematics,core,"General topology {For the topology of manifolds of all dimensions, see 57Nxx}",MSC2020:54D70,54D70,Base properties of topological spaces
Basic constructions in general topology,Basic constructions in general topology,https://scholar.google.com/scholar?q=Basic%20constructions%20in%20general%20topology,1,Mathematics,core,"General topology {For the topology of manifolds of all dimensions, see 57Nxx}",MSC2020:54Bxx,54Bxx,Basic constructions in general topology
Basic hypergeometric functions,Basic hypergeometric functions,https://scholar.google.com/scholar?q=Basic%20hypergeometric%20functions,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33Dxx,33Dxx,Basic hypergeometric functions
Basic hypergeometric functions associated with root systems,Basic hypergeometric functions associated with root systems,https://scholar.google.com/scholar?q=Basic%20hypergeometric%20functions%20associated%20with%20root%20systems,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D67,33D67,Basic hypergeometric functions associated with root systems
"Basic hypergeometric functions in one variable, r phis","Basic hypergeometric functions in one variable, r phis",https://scholar.google.com/scholar?q=Basic%20hypergeometric%20functions%20in%20one%20variable%2C%20r%20phis,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D15,33D15,"Basic hypergeometric functions in one variable, r φs"
Basic hypergeometric integrals and functions defined by them,Basic hypergeometric integrals and functions defined by them,https://scholar.google.com/scholar?q=Basic%20hypergeometric%20integrals%20and%20functions%20defined%20by%20them,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D60,33D60,Basic hypergeometric integrals and functions defined by them
Basic linear algebra,Basic linear algebra,https://scholar.google.com/scholar?q=Basic%20linear%20algebra,1,Mathematics,core,Linear and multilinear algebra; matrix theory,MSC2020:15Axx,15Axx,Basic linear algebra
"Basic orthogonal polynomials and functions (Askey-Wilson polynomials, etc.)","Basic orthogonal polynomials and functions (Askey-Wilson polynomials, etc.)",https://scholar.google.com/scholar?q=Basic%20orthogonal%20polynomials%20and%20functions%20(Askey-Wilson%20polynomials%2C%20etc.),1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D45,33D45,"Basic orthogonal polynomials and functions (Askey-Wilson polynomials, etc.)"
"Basic orthogonal polynomials and functions associated with root systems (Macdonald polynomials, etc.)","Basic orthogonal polynomials and functions associated with root systems (Macdonald polynomials, etc.)",https://scholar.google.com/scholar?q=Basic%20orthogonal%20polynomials%20and%20functions%20associated%20with%20root%20systems%20(Macdonald%20polynomials%2C%20etc.),1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D52,33D52,"Basic orthogonal polynomials and functions associated with root systems (Macdonald polynomials, etc.)"
Basic properties of first-order languages and structures,Basic properties of first-order languages and structures,https://scholar.google.com/scholar?q=Basic%20properties%20of%20first-order%20languages%20and%20structures,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03C07,03C07,Basic properties of first-order languages and structures
Bayesian inference,Bayesian inference,https://scholar.google.com/scholar?q=Bayesian%20inference,1,Statistics,core,Statistics,MSC2020:62F15,62F15,Bayesian inference
Bayesian problems; characterization of Bayes procedures,Bayesian problems; characterization of Bayes procedures,https://scholar.google.com/scholar?q=Bayesian%20problems%3B%20characterization%20of%20Bayes%20procedures,1,Statistics,core,Statistics,MSC2020:62C10,62C10,Bayesian problems; characterization of Bayes procedures
"BCK-algebras, BCI-algebras","BCK-algebras, BCI-algebras",https://scholar.google.com/scholar?q=BCK-algebras%2C%20BCI-algebras,1,Mathematics,core,"Order, lattices, ordered algebraic structures [See also 18B35]",MSC2020:06F35,06F35,"BCK-algebras, BCI-algebras [See also 03G25]"
Bell and Stirling numbers,Bell and Stirling numbers,https://scholar.google.com/scholar?q=Bell%20and%20Stirling%20numbers,1,Mathematics,core,Number theory,MSC2020:11B73,11B73,Bell and Stirling numbers
Bergman spaces and Fock spaces,Bergman spaces and Fock spaces,https://scholar.google.com/scholar?q=Bergman%20spaces%20and%20Fock%20spaces,1,Mathematics,core,Functions of a complex variable,MSC2020:30H20,30H20,"Bergman spaces and Fock spaces [See also 46E30, 46E35]"
Bergman spaces of functions in several complex variables,Bergman spaces of functions in several complex variables,https://scholar.google.com/scholar?q=Bergman%20spaces%20of%20functions%20in%20several%20complex%20variables,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32A36,32A36,Bergman spaces of functions in several complex variables
Bernoulli and Euler numbers and polynomials,Bernoulli and Euler numbers and polynomials,https://scholar.google.com/scholar?q=Bernoulli%20and%20Euler%20numbers%20and%20polynomials,1,Mathematics,core,Number theory,MSC2020:11B68,11B68,Bernoulli and Euler numbers and polynomials
Besov spaces and Qp-spaces,Besov spaces and Qp-spaces,https://scholar.google.com/scholar?q=Besov%20spaces%20and%20Qp-spaces,1,Mathematics,core,Functions of a complex variable,MSC2020:30H25,30H25,Besov spaces and Qp-spaces
"Bessel and Airy functions, cylinder functions, 0F1","Bessel and Airy functions, cylinder functions, 0F1",https://scholar.google.com/scholar?q=Bessel%20and%20Airy%20functions%2C%20cylinder%20functions%2C%200F1,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33C10,33C10,"Bessel and Airy functions, cylinder functions, 0F1"
"Best approximation, Chebyshev systems","Best approximation, Chebyshev systems",https://scholar.google.com/scholar?q=Best%20approximation%2C%20Chebyshev%20systems,1,Mathematics,core,"Approximations and expansions {For approximation theory in the complex domain, see 30E05, 30E10; for trigonometric approximation and interpolation, see 42A10, 42A15; for numerical approximation, see 65Dxx}",MSC2020:41A50,41A50,"Best approximation, Chebyshev systems"
Best constants in approximation theory,Best constants in approximation theory,https://scholar.google.com/scholar?q=Best%20constants%20in%20approximation%20theory,1,Mathematics,core,"Approximations and expansions {For approximation theory in the complex domain, see 30E05, 30E10; for trigonometric approximation and interpolation, see 42A10, 42A15; for numerical approximation, see 65Dxx}",MSC2020:41A44,41A44,Best constants in approximation theory
Bialgebras,Bialgebras,https://scholar.google.com/scholar?q=Bialgebras,1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16T10,16T10,Bialgebras
Bibasic functions and multiple bases,Bibasic functions and multiple bases,https://scholar.google.com/scholar?q=Bibasic%20functions%20and%20multiple%20bases,1,Mathematics,core,"Special functions (33-XX deals with the properties of functions as functions) {For orthogonal functions, see 42Cxx; for aspects of combinatorics, see 05Axx; for number-theoretic aspects, see 11-XX; for representation theory, see 22Exx}",MSC2020:33D65,33D65,Bibasic functions and multiple bases
Bibliographies for mathematics in general,Bibliographies for mathematics in general,https://scholar.google.com/scholar?q=Bibliographies%20for%20mathematics%20in%20general,1,Foundations and methodology,adjacent,General and overarching topics; collections,MSC2020:00A15,00A15,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections]
Bifurcation control of ordinary differential equations,Bifurcation control of ordinary differential equations,https://scholar.google.com/scholar?q=Bifurcation%20control%20of%20ordinary%20differential%20equations,1,Mathematics,core,Ordinary differential equations,MSC2020:34H20,34H20,Bifurcation control of ordinary differential equations
Bifurcation of solutions to ordinary differential equations involving randomness,Bifurcation of solutions to ordinary differential equations involving randomness,https://scholar.google.com/scholar?q=Bifurcation%20of%20solutions%20to%20ordinary%20differential%20equations%20involving%20randomness,1,Mathematics,core,Ordinary differential equations,MSC2020:34F10,34F10,Bifurcation of solutions to ordinary differential equations involving randomness
